idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
1,94471,134,10135,10150.0,3,
2,94471,134,10150,,45,
3,94471,134,10550,,66,
4,94471,134,10133,10143.0,86,
5,94471,133,10573,10574.0,89,
6,94472,1062,9876,,45,2.0
7,94472,145,10538,10518.0,46,
8,94472,1062,9894,9901.0,53,
9,94473,131,10244,10249.0,45,2.0
10,94473,118,10039,10015.0,45,4.0
11,94473,118,10040,10041.0,76,
12,94473,118,10038,,84,
13,94473,131,10258,,90,5.0
14,94474,129,10290,10267.0,21,
15,94474,129,10292,10265.0,34,
16,94474,129,10268,10290.0,81,
17,94474,129,10290,,89,
18,94475,132,10222,,45,2.0
19,94475,132,10222,10192.0,88,
20,94476,135,10106,10096.0,40,
21,94476,127,10180,10168.0,41,
22,94476,127,10180,10173.0,67,
23,94476,127,10174,,90,
24,94477,151,10344,,89,
25,94478,128,10004,9994.0,6,
26,94478,128,9989,,35,
27,94478,130,2414,10498.0,90,3.0
28,94479,121,9932,9905.0,17,
29,94479,121,9916,9932.0,59,
30,94479,121,9932,9916.0,71,
31,94479,121,9921,9923.0,90,1.0
32,94480,126,9955,9971.0,41,
33,94480,126,9966,9959.0,83,
34,94481,130,10490,10496.0,45,
35,94481,145,10495,,85,
36,94482,118,10039,10013.0,6,
37,94482,120,10074,10069.0,30,
38,94482,120,10068,10076.0,36,
39,94482,120,10069,10074.0,45,3.0
40,94482,118,10022,,83,
41,94483,131,10238,,55,
42,94484,135,10098,,50,
43,94485,121,9920,9923.0,9,
44,94485,150,10474,,63,
45,94486,154,10436,10425.0,2,
46,94486,134,10124,10133.0,22,
47,94486,154,10437,10434.0,76,
48,94487,126,9972,9949.0,31,
49,94487,126,9969,9971.0,36,
50,94487,151,10359,,45,2.0
51,94488,119,10401,10391.0,5,
52,94488,127,2612,10173.0,60,
53,94488,119,10397,10387.0,77,
54,94489,128,10004,,65,
55,94489,128,10000,,73,
56,94489,124,10321,10331.0,85,
57,94490,1062,9888,9900.0,59,
58,94490,133,10576,,66,
59,94490,1062,2492,9874.0,90,
60,94491,118,10040,,40,
61,94492,120,10067,,70,
62,94493,129,10290,10267.0,24,
63,94493,1062,9883,9874.0,26,
64,94493,1062,9890,9874.0,90,3.0
65,94494,134,10143,10119.0,76,
66,94494,132,10222,,89,
67,94495,135,10090,10106.0,49,
68,94495,151,10364,,57,
69,94495,135,10094,10084.0,81,
70,94497,130,10505,10480.0,6,
71,94497,130,2414,10501.0,13,
72,94497,130,10491,10505.0,22,
73,94497,124,10328,10323.0,39,
74,94497,124,10323,,41,
75,94497,124,10301,,55,
76,94497,124,10321,,72,
77,94497,130,2466,10502.0,84,
78,94497,124,10328,,90,2.0
79,94498,121,9934,9939.0,14,
80,94499,127,10175,10170.0,8,
81,94499,126,9958,,83,
82,94500,131,10241,,17,
