Iddojogador,Nomedojogador,Iddotimerodada1,Iddotimerodada2,Iddotimerodada3,Iddotimerodada4,Iddotimerodada5,Iddotimerodada6,Iddotimerodada7,Iddotimerodada8,Iddotimerodada9,Iddotimerodada10,Iddotimerodada11,Iddotimerodada12,Iddotimerodada13,Iddotimerodada14,Iddotimerodada15,Iddotimerodada16,Iddotimerodada17,Iddotimerodada18,Iddotimerodada19,Iddotimerodada20,Iddotimerodada21,Iddotimerodada22,Iddotimerodada23,Iddotimerodada24,Iddotimerodada25,Iddotimerodada26,Iddotimerodada27,Iddotimerodada28,Iddotimerodada29,Iddotimerodada30,Iddotimerodada31,Iddotimerodada32,Iddotimerodada33,Iddotimerodada34,Iddotimerodada35,Iddotimerodada36,Iddotimerodada37,Iddotimerodada38
10112,Santos,134,134,134,-1,134,134,134,134,134,-1,134,134,-1,134,134,134,-1,-1,134,134,134,134,-1,-1,134,-1,134,134,134,134,134,-1,134,134,134,134,-1,-1
10123,Jonathan,134,-1,-1,-1,-1,-1,-1,-1,134,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,-1,134,-1,-1
10121,Thiago Heleno,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,134,134,-1,134,134,134,134,134,134,134,-1,134,134,134,134,-1
10124,Léo Pereira,134,134,134,-1,134,134,134,134,134,-1,134,134,-1,134,134,-1,134,-1,134,134,134,134,134,134,134,134,134,134,134,134,-1,-1,134,134,-1,134,-1,-1
10122,Renan Lodi,134,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10131,Camacho,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,-1,134,134,-1,134,134,134,134,-1
10133,Nikão,134,-1,134,-1,-1,134,134,-1,134,-1,134,134,-1,-1,-1,134,-1,-1,-1,134,134,134,-1,-1,-1,-1,134,134,134,134,134,134,134,134,-1,-1,-1,-1
10135,Bruno Guimarães,134,-1,134,-1,-1,134,134,134,134,-1,134,134,-1,134,134,134,-1,-1,134,134,134,134,-1,-1,134,134,134,134,134,134,-1,-1,134,-1,-1,-1,-1,-1
10127,T. Andrade,134,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,-1
10150,M. Ruben,134,-1,134,-1,-1,134,-1,134,134,-1,134,-1,-1,134,-1,134,-1,-1,134,134,-1,-1,-1,-1,-1,134,134,134,134,134,-1,-1,134,-1,134,134,-1,-1
10143,Rony,134,-1,134,-1,-1,134,134,134,134,-1,134,134,-1,134,134,134,-1,-1,134,134,134,134,134,134,134,134,134,134,134,134,134,134,-1,134,-1,134,-1,-1
10549,Alexander,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10550,Werley,133,-1,-1,133,133,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1
10551,R. Cáceres,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,133,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,133,-1,-1
10552,Danilo Barcelos,133,133,133,-1,133,133,133,133,133,-1,-1,-1,-1,-1,-1,133,-1,133,133,-1,133,133,133,-1,-1,-1,-1,-1,-1,133,133,133,133,-1,-1,-1,-1,-1
10559,Ricardo Graça,133,133,133,133,133,133,133,133,133,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,133,133,-1,-1,133,133,133,-1,-1,133,-1,-1
10557,Miranda,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10581,Yago Pikachu,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,-1,133,133,133,133,133,133,133,133,133,133,133,133,133,-1,133,133,133,133,133,-1
10565,Lucas Mineiro,133,133,133,133,133,133,-1,-1,-1,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10281,Raul,133,133,133,-1,133,-1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,-1,133,-1,-1,-1,-1,133,-1,133,133,133,133,133,-1,133,133,-1
10576,M. López,133,133,133,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10574,Marrony,133,-1,133,133,133,133,133,133,-1,133,133,133,133,-1,133,133,133,-1,-1,133,-1,133,-1,133,133,133,133,133,133,133,-1,133,133,133,133,133,133,-1
9859,Victor,1062,1062,1062,1062,1062,1062,1062,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1
9876,Fábio Santos,1062,1062,1062,-1,1062,1062,1062,1062,-1,-1,1062,1062,1062,1062,-1,1062,1062,1062,-1,1062,1062,1062,1062,-1,1062,1062,1062,1062,-1,1062,1062,1062,1062,1062,1062,-1,-1,-1
9866,Leonardo Silva,1062,-1,-1,-1,1062,-1,-1,-1,1062,-1,-1,-1,-1,-1,1062,-1,-1,1062,1062,-1,-1,1062,1062,-1,1062,1062,1062,1062,-1,-1,-1,-1,1062,-1,-1,-1,1062,-1
9868,Iago Maidana,1062,-1,-1,-1,-1,-1,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1,1062,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1,-1,-1,1062,-1
9874,Guga,1062,1062,1062,1062,-1,-1,-1,-1,1062,1062,-1,-1,-1,1062,1062,-1,-1,-1,1062,-1,-1,1062,-1,-1,1062,1062,1062,1062,1062,-1,-1,-1,-1,-1,-1,1062,1062,-1
9892,Adílson,1062,-1,1062,-1,-1,1062,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9888,Elias,1062,1062,1062,1062,-1,1062,1062,1062,-1,1062,1062,1062,1062,1062,-1,1062,1062,1062,-1,1062,1062,1062,1062,1062,1062,1062,-1,1062,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1
9899,Luan,1062,-1,1062,1062,1062,1062,1062,1062,-1,-1,-1,-1,-1,-1,1062,-1,-1,-1,-1,1062,1062,1062,-1,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,1062,-1,-1,-1
2492,Y. Chará,1062,1062,1062,1062,1062,1062,1062,1062,-1,-1,1062,1062,1062,1062,-1,1062,1062,1062,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9894,Ricardo Oliveira,1062,1062,1062,1062,1062,-1,1062,-1,1062,-1,-1,1062,1062,-1,-1,1062,1062,1062,-1,-1,-1,-1,1062,-1,-1,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9901,Geuvânio,1062,1062,1062,-1,-1,-1,-1,-1,1062,1062,-1,-1,-1,-1,1062,-1,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1
10508,Vladimir,145,145,145,145,145,145,145,145,145,145,-1,145,145,145,145,145,145,145,145,145,-1,145,145,145,145,145,145,145,145,-1,145,145,145,145,145,145,-1,-1
10513,Betão,145,145,145,145,-1,145,145,145,145,145,145,145,145,145,145,-1,-1,145,145,145,145,145,145,145,145,145,145,-1,145,145,145,-1,-1,-1,-1,-1,-1,-1
10517,Marquinhos Silva,145,145,-1,-1,145,-1,-1,-1,-1,-1,145,145,145,145,145,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,145,145,145,145,145,145,-1
10522,Paulinho Oliveira,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10514,Matheus Barbosa,145,-1,-1,145,145,145,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,145,145,-1,-1,145,145,145,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1
10518,Iury,145,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,145,145,145,-1,145,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10534,J. Mosquera,145,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10526,Pedro Castro,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,-1,-1,-1,-1,-1,-1,-1,145,145,145,145,-1,-1,-1,-1,145,-1
10531,Gegé,145,-1,-1,145,145,145,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,-1,-1
10525,João Paulo,145,145,145,145,145,145,145,-1,-1,-1,145,145,145,145,145,145,145,-1,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,145,-1,145,145,145,-1,145,-1
10545,Getúlio,145,145,145,-1,-1,-1,145,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10010,Anderson,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10022,Ernando,118,118,118,118,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10015,Nino Paraíba,118,118,118,-1,118,118,118,118,-1,-1,-1,118,118,-1,118,118,118,118,118,118,118,118,118,-1,-1,118,118,118,118,118,118,-1,-1,118,-1,118,118,-1
10024,Lucas Fonseca,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,-1,-1,118,118,-1,-1
10013,Moisés,118,-1,-1,118,118,118,118,118,118,-1,118,118,118,118,-1,118,118,118,118,118,118,118,118,-1,-1,-1,-1,118,118,118,118,118,118,118,118,118,118,-1
10034,Elton,118,-1,-1,118,-1,118,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10031,Gregore,118,118,118,118,118,118,118,-1,-1,118,118,118,118,-1,118,118,118,118,118,118,118,118,118,118,118,118,118,118,-1,118,118,118,118,118,118,118,118,-1
10027,Ramires,118,118,118,-1,118,-1,-1,118,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10044,Fernandão,118,-1,118,-1,-1,118,118,118,118,-1,-1,-1,-1,118,-1,-1,-1,-1,-1,-1,-1,-1,118,-1,-1,-1,-1,-1,118,118,-1,-1,-1,-1,-1,-1,-1,-1
10039,Arthur Caike,118,118,-1,-1,118,-1,-1,118,118,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,118,-1,-1,-1,-1,-1
