Id substituicao,Id partida,Id time,Id Jogador Substituido,Id Jogador Substituto,Tempo,Acrescimo
1,94471,134,10131,10128,34,
2,94471,133,10576,10575,58,
3,94471,133,10581,10570,58,
4,94471,133,10557,10573,68,
5,94471,134,10150,10142,69,
6,94471,134,10135,10119,77,
7,94472,145,10545,10538,46,
8,94472,1062,9888,9886,64,
9,94472,145,10534,10533,73,
10,94472,145,10531,10539,74,
11,94472,1062,2492,9890,78,
12,94472,1062,9894,9882,90,3
13,94473,118,10044,10041,25,
14,94473,131,10244,10261,67,
15,94473,118,10039,10038,71,
16,94473,131,10249,10241,77,
17,94473,131,10252,10250,85,
18,94473,118,10027,10028,86,
19,94474,150,10456,10440,45,7
20,94474,150,10462,10464,46,
21,94474,129,10275,80187,63,
22,94474,129,10292,77665,69,
23,94474,150,10473,10470,73,
24,94474,129,80185,10268,77,
25,94475,119,10390,10399,55,
26,94475,119,10400,10397,62,
27,94475,132,10196,10223,66,
28,94475,132,10214,10205,68,
29,94475,119,10385,10378,69,
30,94475,132,10224,10189,78,
31,94476,135,10094,10098,62,
32,94476,135,10100,10102,68,
33,94476,135,10106,10095,69,
34,94476,127,2612,10171,76,
35,94476,127,10168,80272,90,1
36,94477,124,10318,10321,61,
37,94477,151,10364,10363,63,
38,94477,151,10356,10358,75,
39,94477,124,10317,10326,81,
40,94477,151,10351,10344,85,
41,94477,124,10306,10329,90,1
42,94478,128,9997,9995,46,
43,94478,130,10501,10507,52,
44,94478,130,10491,10502,60,
45,94478,128,10004,2519,67,
46,94478,130,10480,10503,74,
47,94478,128,9994,10000,82,
48,94479,121,9937,9932,8,
49,94479,154,10432,10435,72,
50,94479,154,10436,10425,72,
51,94479,154,10434,10427,74,
52,94479,121,9926,9918,78,
53,94479,121,9939,9923,82,
54,94480,120,10063,10073,57,
55,94480,126,9967,9959,64,
56,94480,126,9972,9969,76,
57,94480,120,10062,10066,77,
58,94480,120,10068,10071,77,
59,94480,126,9958,9962,87,
60,94481,145,10514,10533,46,
61,94481,130,10503,2414,64,
62,94481,130,10502,10492,65,
63,94481,130,10507,10505,71,
64,94481,145,10520,10532,74,
65,94481,145,10538,10539,76,
66,94482,118,10027,10038,46,
67,94482,120,10076,10071,58,
68,94482,118,10044,10041,63,
69,94482,120,10074,10067,68,
70,94482,118,10039,10025,70,
71,94482,120,10069,10073,76,
72,94483,131,10249,10261,46,
73,94483,132,10196,10189,61,
74,94483,132,10198,10223,61,
75,94483,131,10244,10260,68,
76,94483,131,10258,10241,83,
77,94483,132,10197,10220,83,
78,94484,135,10096,10105,23,
79,94484,129,10275,80187,72,
80,94484,135,10093,10102,76,
81,94484,129,80474,77665,78,
82,94484,135,10098,10091,79,
83,94484,129,10290,68058,83,
84,94485,150,10467,10474,25,
85,94485,121,9920,9935,62,
86,94485,150,10468,10459,67,
87,94485,121,9923,9940,78,
88,94485,121,9928,9925,82,
89,94485,150,10272,10454,83,
90,94486,134,10127,10142,61,
91,94486,154,10432,10434,65,
92,94486,154,10435,10437,73,
93,94486,154,10425,10429,79,
94,94486,134,10123,10149,81,
95,94486,134,10133,10147,89,
96,94487,126,2571,9953,45,
97,94487,151,10338,10339,46,
98,94487,151,10349,10340,51,
99,94487,126,9972,9959,73,
100,94487,151,10356,10361,79,
101,94487,126,9969,9975,79,
102,94488,119,10391,10397,66,
103,94488,119,10388,10404,67,
104,94488,127,2612,10171,73,
105,94488,127,10173,10179,79,
106,94488,127,10168,10178,84,
107,94488,119,10402,10396,90,1
108,94489,128,9980,9988,46,
109,94489,128,9997,9994,61,
110,94489,124,10318,10321,67,
111,94489,124,10328,10326,71,
112,94489,128,10000,2428,82,
113,94489,124,10319,10324,89,
114,94490,1062,9899,9900,46,
115,94490,133,10569,10571,64,
116,94490,133,10574,10567,71,
117,94490,1062,9882,9890,73,
118,94490,133,10581,10578,79,
119,94490,1062,9901,9883,81,
120,94491,118,10039,10038,28,
121,94491,145,10521,10538,46,
122,94491,145,10520,10532,46,
123,94491,118,10027,10025,69,
124,94491,145,10538,10543,72,
125,94491,118,10040,10034,84,
126,94492,120,10056,10048,58,
127,94492,120,10062,10067,58,
128,94492,154,10434,10425,63,
129,94492,154,10438,10436,63,
130,94492,154,10422,10428,76,
131,94492,120,10074,10061,87,
132,94493,1062,9883,9890,59,
133,94493,129,10275,77665,64,
134,94493,1062,9901,9900,66,
135,94493,129,80474,80171,73,
136,94493,129,10290,10283,80,
137,94493,1062,9894,9896,86,
138,94494,132,10224,10196,40,
139,94494,132,10203,10207,40,
140,94494,132,10189,10216,65,
141,94494,134,10149,10143,67,
142,94494,134,10129,10134,73,
143,94494,134,10142,10133,90,3
144,94495,135,10101,10098,68,
145,94495,135,10106,10105,68,
146,94495,151,10356,10358,74,
147,94495,151,10359,10346,74,
148,94495,135,2485,10091,75,
149,94495,151,10362,10361,84,
150,94496,150,10468,10459,36,
151,94496,128,2428,2454,58,
152,94496,128,9991,9997,61,
153,94496,150,10446,10447,67,
154,94496,128,10004,2519,73,
155,94496,150,10272,10463,76,
156,94497,124,10318,10320,46,
157,94497,130,10491,10502,60,
158,94497,130,10501,10506,62,
159,94497,124,10330,10321,66,
160,94497,124,10323,10300,81,
161,94497,130,10498,10503,81,
162,94498,119,10402,10404,46,
163,94498,119,10397,10391,59,
164,94498,121,9932,9923,60,
165,94498,121,9926,9928,68,
166,94498,119,10387,10406,80,
167,94498,121,9939,9920,81,
168,94499,126,9972,9955,31,
169,94499,126,9953,9959,41,
170,94499,127,10175,10179,45,4
171,94499,127,10158,10164,64,
