,Time mandante,Time visitante,Time substituido,Jogador entra,Jogador sai,Primeiro/ Segundo tempo,Minuto
0,Sao Paulo,Botafogo,Botafogo,Luiz Fernando Moraes dos Santos,Wenderson da Silva Costa Ferreira,2,11.0
1,Sao Paulo,Botafogo,Sao Paulo,Anderson Hernanes de Carvalho, Igor Silveira Gomes,2,18.0
2,Sao Paulo,Botafogo,Sao Paulo,Jonas Gabriel da Silva Nunes,Alexandre Rodrigues da Silva,2,31.0
3,Sao Paulo,Botafogo,Botafogo,Leonardo Felipe Valencia Rossel,Joao Paulo Mior,2,32.0
4,Sao Paulo,Botafogo,Botafogo,Gustavo Henrique Ferrareis,Gustavo Costa da Silva Machado,2,32.0
5,Sao Paulo,Botafogo,Sao Paulo,Vitor Frezarin Bueno,Danilo das Neves Pinheiro,2,41.0
6,Ceara,Fortaleza,Fortaleza,Mariano Vazquez,Osvaldo Lourenco Filho,2,17.0
7,Ceara,Fortaleza,Ceara,Wescley Gomes dos Santos,Leandro Carvalho da Silva,2,21.0
8,Ceara,Fortaleza,Fortaleza,Francisco Edson Moreira da Silva,Jose Romario Silva de Souza,2,28.0
9,Ceara,Fortaleza,Ceara,Fernando Pereira do Nascimento,Vinicius Moreira de Lima,2,31.0
10,Ceara,Fortaleza,Fortaleza,Welker Marcal Almeida,Andre Luis da Costa Alfredo,2,35.0
11,Ceara,Fortaleza,Ceara,Pedro Ken Marimoto Moreira,Thiago Galhardo do Nascimento Rocha,2,38.0
12,Santos,Goias,Goias,Giovanni Augusto Oliveira Cardoso,Jonathan Marlone Azevedo da Silva,2,16.0
13,Santos,Goias,Santos,Evandro Goebel,Felipe Jonatan Rocha Andrade,2,16.0
14,Santos,Goias,Santos,Mario Sergio Santos Costa,Derlis Alberto Galeano González,2,26.0
15,Santos,Goias,Goias,Yago da Silva Rocha,evin Peterson dos Santos Silva,2,27.0
16,Santos,Goias,Santos,Fernando Uribe Hincapie,Eduardo Colcenti Antunes,2,32.0
17,Santos,Goias,Goias,Marcio Antonio de Sousa Junior,Michael Richard Delgado de Oliveira,2,35.0
18,Fluminense,Internacional,Fluminense,Anderson Luis de Carvalho,Marcos Paulo Costa do Nascimento,2,17.0
19,Fluminense,Internacional,Internacional,Andres Nicolas Dalessandro,Jose Gabriel dos Santos Silva,2,21.0
20,Fluminense,Internacional,Internacional,William de Oliveira Pottker,Santiago Trellez Vivero,2,21.0
21,Fluminense,Internacional,Internacional,Edenilson Andrade dos Santos,Gustavo Nonato Santana,2,35.0
