,Treinador,Rodada 1,Rodada 2,Rodada 3,Rodada 4,Rodada 5,Rodada 6,Rodada 7,Rodada 8,Rodada 9,Rodada 10,Rodada 11,Rodada 12,Rodada 13,Rodada 14,Rodada 15,Rodada 16,Rodada 17,Rodada 18,Rodada 19,Rodada 20,Rodada 21,Rodada 22,Rodada 23,Rodada 24,Rodada 25,Rodada 26,Rodada 27,Rodada 28,Rodada 29,Rodada 30,Rodada 31,Rodada 32,Rodada 33,Rodada 34,Rodada 35,Rodada 36,Rodada 37,Rodada 38
0,Rogerio Ceni,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
1,Enderson Alves Moreira,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,,,,,,,,,,,,,
2,Alexi Stival,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Eduardo de Souza Barroca,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rodrigo Marques de Santana,Atletico,,,,,,,,,,,,Atletico,,,,,,,,,,,,,,,,,,,,,,,,,
5,Eugenio Machado Souto,Avai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NEY FRANCO DA SILVEIRA JUNIOR,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Odair Hellmann,Chapecoense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ABEL CARLOS DA SILVA BRAGA,Flamengo,,,,,,,,,,,,,,,,,,,,,,,,Cruzeiro,,,,,,,,,,,,,
9,LUIZ ANTONIO VENKER MENEZES,Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Renato Portaluppi,Gremio,,,,,,,,,,,,,,,,,,,,,,,,Gremio,,,,,,,,,,,,,
11,Jorge Luis Sampaoli Moya,Santos,,,,,,,,,,,,,,,,,,,,,,,,Santos,,,,,,,,,,,,,
12,MARCELO RIBEIRO CABO,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fabio Luiz Carille De Araujo,Corinthians,,,,,,,,,,,,,,,,,,,,,,,,Corinthians,,,,,,,,,,,,,
14,Roger Machado Marques,Bahia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MARCOS GOMES VALADARES,Vasco da Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TIAGO RETZLAFF NUNES,Athletico Paranaense,,,,,,,,,,,,,,,,,,,,,,,,Athletico Paranaense,,,,,,,,,,,,,
17,LUIZ FELIPE SCOLARI,Palmeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FERNANDO DINIZ SILVA,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
19,CLAUDINEI DOS SANTOS OLIVEIRA,Goias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Marcos Vinicius Santos Goncalves,,,,,,,,,,,,,,,,,,,,,,,,,Chapecoense,,,,,,,,,,,,,
21,Wanderley Luxemburgo Da Silva,,,,,,,,,,,,,,,,,,,,,,,,,Vasco da Gama,,,,,,,,,,,,,
22,Jorge Fernando Pinheiro De Jesus,,,,,,,,,,,,,,,,,,,,,,,,,Flamengo,,,,,,,,,,,,,
23,Adilson Dias Batista,,,,,,,,,,,,,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
24,Evando Spinasse Camillato,,,,,,,,,,,,,,,,,,,,,,,,,Avai,,,,,,,,,,,,,
25,Ricardo Colbachini,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
